NOM,Nom complet,Any central,Període,Tipologia,ESCALA,Municipi,Municipis Escala I,Àmbit Intermunicipal,Comarca,ODS1 - Economia social i solidària,ODS2 - Agricultura i i alimentació,ODS2 - Producte local,ODS3 - Salut,ODS3 - Cures,ODS3 - Economia platejada i gent gran,ODS4 - Educació,ODS4 - Formació (professional i ocupacional),ODS4 - Educació superior i universitats,ODS5 - Igualtat de gènere,ODS6 - Aigua,ODS7 - Energia,ODS8 - Emprenedoria,ODS8 - Retenció i atracció de talent,ODS8 - Creativitat i cultura,ODS8 - Turisme,ODS8 - Comerç i restauració,ODS8 - Esport,ODS9 - Indústria i innovació,ODS9 - Digitalització i telecomunicacions,ODS9 - Grans infraestructures,ODS10 - Serveis socials,ODS10 - Drets,ODS11 - Model urbà,ODS11 - Polígons,ODS11 - Paisatge i patrimoni urbà,ODS11 - Habitatge,"ODS11 - Regeneració urbana, espai públic i equipaments",ODS11 - Mobilitat interna,ODS11 - Manteniment i creixement de la població,ODS12 - Economia circular,ODS12 - Consum responsable,"ODS13 - Gestió de riscos, resiliència climàtica",ODS14 - Vida submarina,ODS15 - Fusta i silvicultura. Productes forestals no fustaners,ODS15 - Serveis ecosistèmics i infraestructura verda i blava (incloent verd urbà),ODS15 - Paisatges naturals,ODS16 - Participació,ODS16 - Identitat,ODS16 - Modernització administració,ODS17 - Dades,"ODS17 - Plans, pactes, acords",Total,ODS1,ODS2,ODS3,ODS4,ODS5,ODS6,ODS7,ODS8,ODS9,ODS10,ODS11,ODS12,ODS13,ODS14,ODS15,ODS16,ODS17
Abrera,La Nova Abrera! Pla Estratègic d'Abrera,2003,1998-2007,Pla estratègic territorial,M,Abrera,,,Baix Llobregat,0,0,1,,1,,5,2,,"4,5",3,1,,,10,"0,5","3,5",1,4,"1,5",3,5,,5,4,"2,25","2,5",7,"7,5","3,5",,,1,,1,"6,25",1,1,7,4,1,2,102,0,1,1,7,"4,5",3,1,15,"8,5",5,"31,75",0,1,0,"8,25",12,3
Abrera,Pla estratègic municipal d'Abrera 2023 - 2027,2022,2018-2023,Pla estratègic territorial,M,Abrera,,,Baix Llobregat,0,4,"1,55","7,8",3,"4,3","6,95",6,"0,2","4,5","9,75",7,1,2,"13,7","3,5","5,25","1,75",2,,1,"6,6","5,5","3,5","1,5",2,3,15,"9,7","1,5","2,5","1,5","7,55","0,5",,"3,3",,7,"5,5","26,5","6,1",4,198,0,"5,55","15,1","13,15","4,5","9,75",7,"27,2",3,"12,1","36,2",4,"7,55","0,5","3,3",39,"10,1"
Alba-Ter POIT,Projecte Alba-Ter. Pla d'ordenació integral del riu Ter,1998,1998-2007,Pla estratègic territorial,I,,"Manlleu, Roda de Ter, Torelló, Sant Quirze de Besora, Sant Vicenç de Torelló, Santa Maria de Corcó, Vic, Vilanova de Sau",Consorci Alba_Ter,,0,"0,5","0,25",,,,,"0,7",,,"3,75",,,,0,1,,,1,,,,,"2,25",,"3,25",,,,,,"0,25","0,45",,,"1,05","1,25","0,25",,"1,8","0,5","0,75",19,0,"0,75",0,"0,7",0,"3,75",0,1,1,0,"5,5","0,25","0,45",0,"2,3","2,05","1,25"
Alt Foix,Pla de desenvolupament de l'Alt Foix,2000,1998-2007,Pla estratègic territorial,I,,"Torrelles de Foix, Sant Martí Sarroca, Pontons, Vilobí del Penedès, Font-rubí, La Llacuna",Alt Foix,"Anoia, Alt Penedès",0,0,"0,5",,,,,"0,5",,,,,1,1,0,"2,8","0,5",,"0,5",,,,,"0,5","0,5","0,75",,,,,,,,,,"2,25",,"0,5","1,5","1,5",1,"1,7",17,0,"0,5",0,"0,5",0,0,0,"5,3","0,5",0,"1,75",0,0,0,"2,25","3,5","2,7"
Alt Penedès I,Pla estratègic de l'Alt Penedès,1994,1988-1997,Pla estratègic territorial,C,,,,Alt Penedès,0,"3,5",2,"5,5",10,2,"5,25","6,7",1,1,"0,5","2,5","0,7","1,8",4,"3,25","4,3","4,5","4,9",,5,"3,6",,"2,2","3,3",3,"0,5","2,5",8,1,"1,5",,,,1,"2,8",,1,,5,"3,2",2,109,0,"5,5","17,5","12,95",1,"0,5","2,5","18,55","9,9","3,6","20,5","1,5",0,0,"3,8",6,"5,2"
Alt Penedès II,II Pla estratègic de l'Alt Penedès,2002,1998-2007,Pla estratègic territorial,C,,,,Alt Penedès,0,"0,75",2,,"5,5",3,,8,,3,,,3,,0,2,"1,5",,13,"1,75",6,2,,3,6,,1,"0,5",6,,1,,,,,,"0,5",,1,,1,"4,5",76,0,"2,75","8,5",8,3,0,0,"6,5","20,75",2,"16,5",1,0,0,"0,5",1,"5,5"
Alt Penedès III,Pla estratègic III - Alt Penedès,2008,2008-2017,Pla estratègic territorial,C,,,,Alt Penedès,"0,2","0,8","0,2","0,3","0,3",,,"0,5","0,5",,,1,"0,3",,"0,7",1,"1,1",,0,"0,3","0,5",,,"0,2","0,4",,,"0,2","0,5",,,,,,,"0,2",1,,"0,4","0,8",,"0,6",12,"0,2",1,"0,6",1,0,0,1,"3,1","0,8",0,"1,3",0,0,0,"1,2","1,2","0,6"
AMB (DREAM),Reflexió estratègica metropolitana per a un territori resilient. Col·lecció DREAM,2018,2018-2023,Pla estratègic territorial,I,,"Badia del Vallès, Montgat, Gavà Sant Climent de Llobregat Santa Coloma de Cervelló Sant Andreu de la Barca Sant Joan Despí Montcada i Reixac Castellbisbal Esplugues de Llobregat Cervelló Sant Adrià de Besòs Sant Feliu de Llobregat Pallejà El Papiol Torrelles de Llobregat Corbera de Llobregat Barberà del Vallès Viladecans Barcelona Sant Vicenç dels Horts Sant Cugat del Vallès Badalona Sant Just Desvern Santa Coloma de Gramenet Sant Boi de Llobregat El Prat de Llobregat Molins de Rei Cerdanyola del Vallès Ripollet La Palma de Cervelló Tiana Castelldefels Cornellà de Llobregat Begues L'Hospitalet de Llobregat",Àrea Metropolitana de Barcelona,"Barcelonès, Baix Llobregat, Maresme, Vallès Occidental",1,0,0,,,,,,,,,,,,0,,,,0,,,,,,1,,,1,,,,,1,,,,1,2,1,1,2,1,12,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1,4,3
AMB (REM),Reflexió estratègica metropolitana. Construint la Barcelona metropolitana enfortint el món local,2015,2008-2017,Pla estratègic territorial,I,,"Badia del Vallès, Montgat, Gavà Sant Climent de Llobregat Santa Coloma de Cervelló Sant Andreu de la Barca Sant Joan Despí Montcada i Reixac Castellbisbal Esplugues de Llobregat Cervelló Sant Adrià de Besòs Sant Feliu de Llobregat Pallejà El Papiol Torrelles de Llobregat Corbera de Llobregat Barberà del Vallès Viladecans Barcelona Sant Vicenç dels Horts Sant Cugat del Vallès Badalona Sant Just Desvern Santa Coloma de Gramenet Sant Boi de Llobregat El Prat de Llobregat Molins de Rei Cerdanyola del Vallès Ripollet La Palma de Cervelló Tiana Castelldefels Cornellà de Llobregat Begues L'Hospitalet de Llobregat",Àrea Metropolitana de Barcelona,"Barcelonès, Baix Llobregat, Maresme, Vallès Occidental",0,"1,4","0,4",,,,,"0,9","1,65","0,25","3,2","5,75","1,75","1,35",0,"1,75","2,5",,"9,25","5,25",10,"0,8",,"11,2",2,"1,4","6,6","12,6","14,25",,"2,25","1,25","6,7",,,1,"5,15",3,,"8,95","4,25","23,2",150,0,"1,8",0,"2,55","0,25","3,2","5,75","7,35","24,5","0,8","48,05","3,5","6,7",0,"6,15","11,95","27,45"
Anoia,Pla Anoia. L'estratègia ets tu.,2008,2008-2017,Pla estratègic territorial,C,,,,Anoia,0,0,0,1,,,,,1,,,"0,5",,,"0,75","1,25","0,25","0,75","0,5","1,25",,,,,,,,,,,,,,,"0,5","0,25",,,,"0,5",,"0,5",9,0,0,1,1,0,0,"0,5",3,"1,75",0,0,0,0,0,"0,75","0,5","0,5"
Anoia,Pla estratègic de desenvolupament socioeconòmic Anoia 2025,2018,2018-2023,Pla estratègic territorial,C,,,,Anoia,0,"0,5",0,,,,,,,,,,,"0,5","0,25","0,5","0,25",,"1,5",1,,"0,5",,1,,,,,"0,5",,,,,,,"0,5",,,,,,1,8,0,"0,5",0,0,0,0,0,"1,5","2,5","0,5","1,5",0,0,0,"0,5",0,1
Arenys de Munt,Reflexió estratègia d'Arenys de Munt,2000,1998-2007,Pla estratègic territorial,M,Arenys de Munt,,,Maresme,0,0,1,,,,1,1,1,,"0,5",,,,0,,1,"3,2",1,1,1,,,"1,4","0,8","0,5",,"3,6",1,,,,,,,1,2,,,4,,,26,0,1,0,3,0,"0,5",0,"4,2",3,0,"7,3",0,0,0,3,4,0
Argentona,Pla estratègic d'Argentona,2004,1998-2007,Pla estratègic territorial,M,Argentona,,,Maresme,"0,5","1,25","0,25",,,1,1,2,,,,,,,1,"1,75",,"0,25",0,1,"1,75",,,"2,5",1,"1,5",1,"3,5","0,25",1,,,,,,"0,75","0,75",1,2,,,,27,"0,5","1,5",1,3,0,0,0,3,"2,75",0,"10,75",0,0,0,"1,5",3,0
Bages - Entorn rural,Diagnosi de l'entorn rural de la comarca del Bages i propostes de línies d'actuació,2019,2018-2023,Pla estratègic territorial,C,,,,Bages,"0,8",1,0,,"0,4","1,3",,,,,,"2,5",2,,1,"0,7",1,,2,1,,,,,1,1,"2,4","1,3",1,"1,3",,,,,1,1,,"0,5",1,"1,5","1,5","1,8",30,"0,8",1,"1,7",0,0,0,"2,5","4,7",3,0,8,0,0,0,2,3,"3,3"
Bages i Manresa (pla d'actuacions),Estratègia conjunta de pla d'acció per al desenvolupament econòmic del territori,2018,2018-2023,Pla estratègic territorial,C,,,,Bages,0,0,0,,,,,3,"5,5",,"0,25","0,25","2,5","3,5",0,,,,"10,5","1,25",,2,,2,"6,55",,,,2,,3,,,,,,,,"1,5",3,"1,7","2,5",51,0,0,0,"8,5",0,"0,25","0,25",6,"11,75",2,"10,55",3,0,0,0,"4,5","4,2"
Bages sud,Pla Estratègic del Bages sud 2007-2015,2007,1998-2007,Pla estratègic territorial,I,,"Sant Vicenç de Castellet, Castellbell i el Vilar, Monistrol de Montserrat, Castellgalí, El Pont de Vilomara i Rocafort, Marganell",Bages sud,Bages,0,0,0,,,,,"0,3","0,15",,,"1,5","0,8","0,5","0,5","1,85","0,2","0,25","0,75",,1,,,,"0,25","0,75",,,1,,1,,"0,25",,,2,,"0,3","1,7","0,25","0,3","0,4",16,0,0,0,"0,45",0,0,"1,5","4,1","1,75",0,2,1,"0,25",0,2,"2,25","0,7"
Baix Llobregat,"Estratègia territorial del Baix Llobregat per al desenvolupament econòmic, inclusiu i sostenible",2018,2018-2023,Pla estratègic territorial,C,,,,Baix Llobregat,1,"1,35",0,"0,5","0,5",,,1,,,,"0,2",1,1,1,"0,8",1,,"4,95","0,75","0,75",1,,,"0,75",,"0,2",,"0,25",,"0,4",,,,"0,1","0,15","0,15",,,,"0,2",1,20,1,"1,35",1,1,0,0,"0,2","4,8","6,45",1,"1,2","0,4",0,0,"0,4",0,"1,2"
Baix Llobregat I,Pla estratègic del Baix Llobregat,1996,1988-1997,Pla estratègic territorial,C,,,,Baix Llobregat,1,6,2,2,,1,2,"5,5","1,5",,2,,3,3,4,6,8,,"6,15",5,15,1,,"4,8","1,5","0,5",1,"6,5","7,5",,3,"1,3","3,5",1,5,"1,5",8,,,"5,25","2,5",8,135,1,8,3,9,0,2,0,24,"26,15",1,"21,8","4,3","3,5",1,"14,5","5,25","10,5"
Barberà del Vallès,Pla de desenvolupament econòmic 2021 - 2023,2021,2018-2023,Pla estratègic territorial,M,Barberà del Vallès,,,Vallès Occidental,"2,5",0,"0,25",,,,1,"5,7",,1,,"2,75","4,25","0,5","0,25","2,25","5,25",,"1,75",5,,"2,5",,"0,5","2,25",,,,1,"0,8",,"0,25",,,,,,"0,5","1,25","11,25","2,25",2,57,"2,5","0,25",0,"6,7",1,0,"2,75","12,5","6,75","2,5","4,55","0,25",0,0,0,13,"4,25"
Barcelona Litoral,Pla estratègic dels espais litorals de la ciutat,2018,2018-2023,Pla estratègic territorial,B,Barcelona,,,Barcelonès,1,0,0,,,,,,"1,5",,,,1,,1,2,,1,"1,5",,"1,25",,,4,,"6,25","0,5",7,4,,,1,5,1,,"3,5","1,5",1,1,1,1,3,51,1,0,0,"1,5",0,0,0,5,"2,75",0,"21,75",1,5,1,5,3,4
