MUN_INE,Codi Mun,Municipi,Municipi amb article,Codi Com,Comarca,Population,id_tram_poblacio,Tram etiqueta
08001,8001,Abrera,Abrera,11,Baix Llobregat,"12,489",6,10.001-20.000
08002,8002,Aguilar de Segarra,Aguilar de Segarra,7,Bages,288,1,0-500
08003,8003,Alella,Alella,21,Maresme,"9,801",5,5.001-10.000
08004,8004,Alpens,Alpens,24,Osona,266,1,0-500
08005,8005,Ametlla del Vallès (L'),L'Ametlla del Vallès,41,V. Oriental,"8,462",5,5.001-10.000
08006,8006,Arenys de Mar,Arenys de Mar,21,Maresme,"15,776",6,10.001-20.000
08007,8007,Arenys de Munt,Arenys de Munt,21,Maresme,"8,931",5,5.001-10.000
08008,8008,Argençola,Argençola,6,Anoia,217,1,0-500
08009,8009,Argentona,Argentona,21,Maresme,"12,452",6,10.001-20.000
08010,8010,Artés,Artés,7,Bages,"5,698",5,5.001-10.000
08011,8011,Avià,Avià,14,Berguedà,"2,226",3,1.001-3.000
08012,8012,Avinyó,Avinyó,7,Bages,"2,275",3,1.001-3.000
08013,8013,Avinyonet del Penedès,Avinyonet del Penedès,3,Alt Penedès,"1,701",3,1.001-3.000
08014,8014,Aiguafreda,Aiguafreda,41,V. Oriental,"2,504",3,1.001-3.000
08015,8015,Badalona,Badalona,13,Barcelonès,"220,440",8,+50000
08016,8016,Bagà,Bagà,14,Berguedà,"2,138",3,1.001-3.000
08017,8017,Balenyà,Balenyà,24,Osona,"3,821",4,3.001-5.000
08018,8018,Balsareny,Balsareny,7,Bages,"3,159",4,3.001-5.000
08019,8019,Barcelona,Barcelona,13,Barcelonès,"1,636,762",8,+50000
08020,8020,Begues,Begues,11,Baix Llobregat,"7,098",5,5.001-10.000
08021,8021,Bellprat,Bellprat,6,Anoia,64,1,0-500
08022,8022,Berga,Berga,14,Berguedà,"16,494",6,10.001-20.000
08023,8023,Bigues i Riells del Fai,Bigues i Riells del Fai,41,V. Oriental,"9,092",5,5.001-10.000
08024,8024,Borredà,Borredà,14,Berguedà,445,1,0-500
08025,8025,Bruc (El),El Bruc,6,Anoia,"2,050",3,1.001-3.000
08026,8026,Brull (El),El Brull,24,Osona,263,1,0-500
08027,8027,Cabanyes (Les),Les Cabanyes,3,Alt Penedès,964,2,501-1.000
08028,8028,Cabrera d'Anoia,Cabrera d'Anoia,6,Anoia,"1,410",3,1.001-3.000
08029,8029,Cabrera de Mar,Cabrera de Mar,21,Maresme,"4,680",4,3.001-5.000
08030,8030,Cabrils,Cabrils,21,Maresme,"7,439",5,5.001-10.000
08031,8031,Calaf,Calaf,6,Anoia,"3,535",4,3.001-5.000
08032,8032,Caldes d'Estrac,Caldes d'Estrac,21,Maresme,"2,982",3,1.001-3.000
08033,8033,Caldes de Montbui,Caldes de Montbui,41,V. Oriental,"17,554",6,10.001-20.000
08034,8034,Calders,Calders,42,Moianès,970,2,501-1.000
08035,8035,Calella,Calella,21,Maresme,"19,069",6,10.001-20.000
08036,8036,Calonge de Segarra,Calonge de Segarra,6,Anoia,188,1,0-500
08037,8037,Calldetenes,Calldetenes,24,Osona,"2,489",3,1.001-3.000
08038,8038,Callús,Callús,7,Bages,"2,140",3,1.001-3.000
08039,8039,Campins,Campins,41,V. Oriental,529,2,501-1.000
08040,8040,Canet de Mar,Canet de Mar,21,Maresme,"14,526",6,10.001-20.000
08041,8041,Canovelles,Canovelles,41,V. Oriental,"16,629",6,10.001-20.000
08042,8042,Cànoves i Samalús,Cànoves i Samalús,41,V. Oriental,"3,117",4,3.001-5.000
08043,8043,Canyelles,Canyelles,17,Garraf,"4,647",4,3.001-5.000
08044,8044,Capellades,Capellades,6,Anoia,"5,293",5,5.001-10.000
08045,8045,Capolat,Capolat,14,Berguedà,94,1,0-500
08046,8046,Cardedeu,Cardedeu,41,V. Oriental,"18,357",6,10.001-20.000
08047,8047,Cardona,Cardona,7,Bages,"4,636",4,3.001-5.000
08048,8048,Carme,Carme,6,Anoia,765,2,501-1.000
08049,8049,Casserres,Casserres,14,Berguedà,"1,608",3,1.001-3.000
08050,8050,Castellar del Riu,Castellar del Riu,14,Berguedà,169,1,0-500
08051,8051,Castellar del Vallès,Castellar del Vallès,40,V. Occidental,"24,187",7,20.001-50.000
08052,8052,Castellar de n'Hug,Castellar de n'Hug,14,Berguedà,159,1,0-500
08053,8053,Castellbell i el Vilar,Castellbell i el Vilar,7,Bages,"3,647",4,3.001-5.000
08054,8054,Castellbisbal,Castellbisbal,40,V. Occidental,"12,390",6,10.001-20.000
08055,8055,Castellcir,Castellcir,42,Moianès,752,2,501-1.000
08056,8056,Castelldefels,Castelldefels,11,Baix Llobregat,"67,004",8,+50000
08057,8057,Castell de l'Areny,Castell de l'Areny,14,Berguedà,68,1,0-500
08058,8058,Castellet i la Gornal,Castellet i la Gornal,3,Alt Penedès,"2,292",3,1.001-3.000
08059,8059,Castellfollit del Boix,Castellfollit del Boix,7,Bages,436,1,0-500
08060,8060,Castellfollit de Riubregós,Castellfollit de Riubregós,6,Anoia,151,1,0-500
08061,8061,Castellgalí,Castellgalí,7,Bages,"2,062",3,1.001-3.000
08062,8062,Castellnou de Bages,Castellnou de Bages,7,Bages,"1,397",3,1.001-3.000
08063,8063,Castellolí,Castellolí,6,Anoia,619,2,501-1.000
08064,8064,Castellterçol,Castellterçol,42,Moianès,"2,463",3,1.001-3.000
08065,8065,Castellví de la Marca,Castellví de la Marca,3,Alt Penedès,"1,535",3,1.001-3.000
08066,8066,Castellví de Rosanes,Castellví de Rosanes,11,Baix Llobregat,"1,884",3,1.001-3.000
08067,8067,Centelles,Centelles,24,Osona,"7,404",5,5.001-10.000
