Grup,Nom,ODS_1,ODS_2_1,ODS_2_2,ODS_2_3,ODS_2_4,Pes_ODS_1,Pes_ODS_2_1,Pes_ODS_2_2,Pes_ODS_2_3,Pes_ODS_2_4,
130,Administración general de la seguridad y protección civil.,16.7,5.2,11.5,16.1,,0.500000000000000,0.214285714285714,0.214285714285714,0.071428571428571,0.000000000000000,1.000000000000000
132,Seguridad y Orden Público.,16.1,5.2,11.7,,,0.500000000000000,0.250000000000000,0.250000000000000,0.000000000000000,0.000000000000000,1.000000000000000
133,Ordenación del tráfico y del estacionamiento,11.2,3.6,11.6,,,0.500000000000000,0.200000000000000,0.300000000000000,0.000000000000000,0.000000000000000,1.000000000000000
134,Movilidad urbana.,11.2,3.6,9.1,11.6,11.7,0.500000000000000,0.100000000000000,0.100000000000000,0.150000000000000,0.150000000000000,1.000000000000000
135,Protección civil.,11.5,5.2,16.1,,,0.500000000000000,0.375000000000000,0.125000000000000,0.000000000000000,0.000000000000000,1.000000000000000
136,Servicio de prevención y extinción de incendios.,15.1,11.5,13.1,,,0.500000000000000,0.300000000000000,0.200000000000000,0.000000000000000,0.000000000000000,1.000000000000000
150,Administración General de Vivienda y urbanismo.,11.1,1.4,11.3,,,0.500000000000000,0.125000000000000,0.375000000000000,0.000000000000000,0.000000000000000,1.000000000000000
151,"Urbanismo: planeamiento, gestión, ejecución y disciplina urbanística.",11.3,,,,,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000
152,Vivienda.,11.1,1.4,,,,0.750000000000000,0.250000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000
153,Vías públicas.,11.2,9.1,11.3,11.7,,0.500000000000000,0.125000000000000,0.187500000000000,0.187500000000000,0.000000000000000,1.000000000000000
160,Alcantarillado.,6.3,6.2,9.1,,,0.615385000000000,0.230769000000000,0.153846000000000,0.000000000000000,0.000000000000000,1.000000000000000
161,Abastecimiento domiciliario de agua potable.,6.4,9.1,,,,0.750000000000000,0.250000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000
162,"Recogida, gestión y tratamiento de residuos.",12.5,11.6,,,,0.750000000000000,0.250000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000
163,Limpieza viaria.,11.6,12.5,,,,0.750000000000000,0.250000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000
164,Cementerio y servicios funerarios.,,,,,,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000
165,Alumbrado público.,7.3,7.2,9.1,11.3,11.7,0.500000000000000,0.100000000000000,0.100000000000000,0.150000000000000,0.150000000000000,1.000000000000000
170,Administración general del medio ambiente.,15.5,13.2,14.2,15.1,,0.500000000000000,0.200000000000000,0.200000000000000,0.100000000000000,0.000000000000000,1.000000000000000
171,Parques y jardines.,11.7,6.6,11.3,15.5,,0.500000000000000,0.214285714285714,0.214285714285714,0.071428571428571,0.000000000000000,1.000000000000000
172,Protección y mejora del medio ambiente.,15.5,13.2,14.2,15.1,,0.500000000000000,0.200000000000000,0.200000000000000,0.100000000000000,0.000000000000000,1.000000000000000
211,Pensiones.,1.3,10.2,10.4,,,0.500000000000000,0.250000000000000,0.250000000000000,0.000000000000000,0.000000000000000,1.000000000000000
221,Otras prestaciones económicas a favor de empleados.,8.8,1.3,10.2,10.4,,0.500000000000000,0.100000000000000,0.200000000000000,0.200000000000000,0.000000000000000,1.000000000000000
231,Asistencia social primaria.,1.3,3.4,10.2,10.3,,0.500000000000000,0.166666666666667,0.166666666666667,0.166666666666667,0.000000000000000,1.000000000000000
241,Fomento del Empleo.,8.5,8.3,8.6,10.1,,0.500000000000000,0.166666666666667,0.166666666666667,0.166666666666667,0.000000000000000,1.000000000000000
311,Protección de la salubridad pública.,3.9,,3.9,6.3,12.5,0.600000000000000,0.000000000000000,0.100000000000000,0.150000000000000,0.150000000000000,1.000000000000000
312,"Hospitales, servicios asistenciales y centros de salud.",3.7,11.3,,,,0.500000000000000,0.500000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000
320,Administración general de educación.,4.a,8.6,,,,0.750000000000000,0.250000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000
321,Creación de Centros docentes de enseñanza preescolar y primaria.,4.2,4.a,,,,0.750000000000000,0.250000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000
322,Creación de Centros docentes de enseñanza secundaria.,4.1,4.a,,,,0.750000000000000,0.250000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000
323,Funcionamiento de centros docentes de enseñanza preescolar y primaria y educación especial.,4.5,4.a,,,,0.750000000000000,0.250000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000
324,Funcionamiento de centros docentes de enseñanza secundaria.,4.2,4.4,4.a,,,0.500000000000000,0.250000000000000,0.250000000000000,0.000000000000000,0.000000000000000,1.000000000000000
325,Vigilancia del cumplimiento de la escolaridad obligatoria.,4.1,4.6,,,,0.750000000000000,0.250000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000
326,Servicios complementarios de educación,4.4,4.7,12.8,13.3,,0.500000000000000,0.142857000000000,0.214286000000000,0.142857000000000,0.000000000000000,1.000000000000000
327,Fomento de la convivencia ciudadana.,16.1,5.1,10.3,11.4,16.7,0.500000000000000,0.166666666666667,0.111111111111111,0.166666666666667,0.055555555555556,1.000000000000000
330,Administración general de cultura.,11.4,4.7,12.8,,,0.500000000000000,0.200000000000000,0.300000000000000,0.000000000000000,0.000000000000000,1.000000000000000
