Nom complet;Any central;Període;Municipi;ODS1 - Economia social i solidària;ODS2 - Agricultura i alimentació;ODS2 - Productes locals;ODS3 - Salut;ODS3 - Cures;ODS3 - Economia platejada i gent gran;ODS4 - Educació ;ODS4 - Formació (professional i ocupacional);ODS4 - Educació superior i universitats;ODS5 - Igualtat de gènere;ODS6 - Aigua;ODS7 - Energia;ODS8 - Emprenedoria;ODS8 - Retenció i atracció de talent;ODS8 - Creativitat i cultura;ODS8 - Turisme;ODS8 - Comerç i restauració;ODS8 - Esport;ODS9 - Indústria i innovació;ODS9 - Digitalització i telecomunicacions;ODS9 - Grans infraestructures ;ODS10 - Serveis socials;ODS10 - Drets;ODS11 - Model urbà ;ODS11 - Polígons ;ODS11 - Paisatge i patrimoni urbà;ODS11 - Habitatge;ODS11 - Regeneració urbana, espai públic i equipaments;ODS11 - Mobilitat interna ;ODS11 - Manteniment i creixement de la població;ODS12 - Economia circular;ODS12 - Consum responsable;ODS13 - Gestió de riscos, resiliència climàtica;ODS14 - Vida submarina;ODS15 - Fusta i silvicultura. Productes forestals no fustaners;ODS15 - Serveis ecosistèmics i infraestructura verda i blava (incloent verd urbà);ODS15 - Paisatges naturals;ODS16 - Participació;ODS16 - Identitat;ODS16 - Modernització administració ;ODS17 - Dades;ODS17 - Plans, pactes, acords ;Total;ODS1;ODS2;ODS3;ODS4;ODS5;ODS6;ODS7;ODS8;ODS9;ODS10;ODS11;ODS12;ODS13;ODS14;ODS15;ODS16;ODS17
Projecte Alba-Ter. Pla d'ordenació integral del riu Ter;1998;1998-2007;Manlleu;0,00 %;2,63 %;1,32 %;0,00 %;0,00 %;0,00 %;0,00 %;3,68 %;0,00 %;0,00 %;19,74 %;0,00 %;0,00 %;0,00 %;0,00 %;5,26 %;0,00 %;0,00 %;5,26 %;0,00 %;0,00 %;0,00 %;0,00 %;11,84 %;0,00 %;17,11 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;1,32 %;2,37 %;0,00 %;0,00 %;5,53 %;6,58 %;1,32 %;0,00 %;9,47 %;2,63 %;3,95 %;100,00 %;0,00 %;3,95 %;0,00 %;3,68 %;0,00 %;19,74 %;0,00 %;5,26 %;5,26 %;0,00 %;28,95 %;1,32 %;2,37 %;0,00 %;12,11 %;10,79 %;6,58 %
Projecte Alba-Ter. Pla d'ordenació integral del riu Ter;1998;1998-2007;Roda de Ter;0,00 %;2,63 %;1,32 %;0,00 %;0,00 %;0,00 %;0,00 %;3,68 %;0,00 %;0,00 %;19,74 %;0,00 %;0,00 %;0,00 %;0,00 %;5,26 %;0,00 %;0,00 %;5,26 %;0,00 %;0,00 %;0,00 %;0,00 %;11,84 %;0,00 %;17,11 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;1,32 %;2,37 %;0,00 %;0,00 %;5,53 %;6,58 %;1,32 %;0,00 %;9,47 %;2,63 %;3,95 %;100,00 %;0,00 %;3,95 %;0,00 %;3,68 %;0,00 %;19,74 %;0,00 %;5,26 %;5,26 %;0,00 %;28,95 %;1,32 %;2,37 %;0,00 %;12,11 %;10,79 %;6,58 %
Projecte Alba-Ter. Pla d'ordenació integral del riu Ter;1998;1998-2007;Torelló;0,00 %;2,63 %;1,32 %;0,00 %;0,00 %;0,00 %;0,00 %;3,68 %;0,00 %;0,00 %;19,74 %;0,00 %;0,00 %;0,00 %;0,00 %;5,26 %;0,00 %;0,00 %;5,26 %;0,00 %;0,00 %;0,00 %;0,00 %;11,84 %;0,00 %;17,11 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;1,32 %;2,37 %;0,00 %;0,00 %;5,53 %;6,58 %;1,32 %;0,00 %;9,47 %;2,63 %;3,95 %;100,00 %;0,00 %;3,95 %;0,00 %;3,68 %;0,00 %;19,74 %;0,00 %;5,26 %;5,26 %;0,00 %;28,95 %;1,32 %;2,37 %;0,00 %;12,11 %;10,79 %;6,58 %
Projecte Alba-Ter. Pla d'ordenació integral del riu Ter;1998;1998-2007;Sant Quirze de Besora;0,00 %;2,63 %;1,32 %;0,00 %;0,00 %;0,00 %;0,00 %;3,68 %;0,00 %;0,00 %;19,74 %;0,00 %;0,00 %;0,00 %;0,00 %;5,26 %;0,00 %;0,00 %;5,26 %;0,00 %;0,00 %;0,00 %;0,00 %;11,84 %;0,00 %;17,11 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;1,32 %;2,37 %;0,00 %;0,00 %;5,53 %;6,58 %;1,32 %;0,00 %;9,47 %;2,63 %;3,95 %;100,00 %;0,00 %;3,95 %;0,00 %;3,68 %;0,00 %;19,74 %;0,00 %;5,26 %;5,26 %;0,00 %;28,95 %;1,32 %;2,37 %;0,00 %;12,11 %;10,79 %;6,58 %
Projecte Alba-Ter. Pla d'ordenació integral del riu Ter;1998;1998-2007;Sant Vicenç de Torelló;0,00 %;2,63 %;1,32 %;0,00 %;0,00 %;0,00 %;0,00 %;3,68 %;0,00 %;0,00 %;19,74 %;0,00 %;0,00 %;0,00 %;0,00 %;5,26 %;0,00 %;0,00 %;5,26 %;0,00 %;0,00 %;0,00 %;0,00 %;11,84 %;0,00 %;17,11 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;1,32 %;2,37 %;0,00 %;0,00 %;5,53 %;6,58 %;1,32 %;0,00 %;9,47 %;2,63 %;3,95 %;100,00 %;0,00 %;3,95 %;0,00 %;3,68 %;0,00 %;19,74 %;0,00 %;5,26 %;5,26 %;0,00 %;28,95 %;1,32 %;2,37 %;0,00 %;12,11 %;10,79 %;6,58 %
Projecte Alba-Ter. Pla d'ordenació integral del riu Ter;1998;1998-2007;Santa Maria de Corcó;0,00 %;2,63 %;1,32 %;0,00 %;0,00 %;0,00 %;0,00 %;3,68 %;0,00 %;0,00 %;19,74 %;0,00 %;0,00 %;0,00 %;0,00 %;5,26 %;0,00 %;0,00 %;5,26 %;0,00 %;0,00 %;0,00 %;0,00 %;11,84 %;0,00 %;17,11 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;1,32 %;2,37 %;0,00 %;0,00 %;5,53 %;6,58 %;1,32 %;0,00 %;9,47 %;2,63 %;3,95 %;100,00 %;0,00 %;3,95 %;0,00 %;3,68 %;0,00 %;19,74 %;0,00 %;5,26 %;5,26 %;0,00 %;28,95 %;1,32 %;2,37 %;0,00 %;12,11 %;10,79 %;6,58 %
Projecte Alba-Ter. Pla d'ordenació integral del riu Ter;1998;1998-2007;Vic;0,00 %;2,63 %;1,32 %;0,00 %;0,00 %;0,00 %;0,00 %;3,68 %;0,00 %;0,00 %;19,74 %;0,00 %;0,00 %;0,00 %;0,00 %;5,26 %;0,00 %;0,00 %;5,26 %;0,00 %;0,00 %;0,00 %;0,00 %;11,84 %;0,00 %;17,11 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;1,32 %;2,37 %;0,00 %;0,00 %;5,53 %;6,58 %;1,32 %;0,00 %;9,47 %;2,63 %;3,95 %;100,00 %;0,00 %;3,95 %;0,00 %;3,68 %;0,00 %;19,74 %;0,00 %;5,26 %;5,26 %;0,00 %;28,95 %;1,32 %;2,37 %;0,00 %;12,11 %;10,79 %;6,58 %
Projecte Alba-Ter. Pla d'ordenació integral del riu Ter;1998;1998-2007;Vilanova de Sau;0,00 %;2,63 %;1,32 %;0,00 %;0,00 %;0,00 %;0,00 %;3,68 %;0,00 %;0,00 %;19,74 %;0,00 %;0,00 %;0,00 %;0,00 %;5,26 %;0,00 %;0,00 %;5,26 %;0,00 %;0,00 %;0,00 %;0,00 %;11,84 %;0,00 %;17,11 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;1,32 %;2,37 %;0,00 %;0,00 %;5,53 %;6,58 %;1,32 %;0,00 %;9,47 %;2,63 %;3,95 %;100,00 %;0,00 %;3,95 %;0,00 %;3,68 %;0,00 %;19,74 %;0,00 %;5,26 %;5,26 %;0,00 %;28,95 %;1,32 %;2,37 %;0,00 %;12,11 %;10,79 %;6,58 %
Pla de desenvolupament de l'Alt Foix;2000;1998-2007;Torrelles de Foix;0,00 %;0,00 %;2,94 %;0,00 %;0,00 %;0,00 %;0,00 %;2,94 %;0,00 %;0,00 %;0,00 %;0,00 %;5,88 %;5,88 %;0,00 %;16,47 %;2,94 %;0,00 %;2,94 %;0,00 %;0,00 %;0,00 %;0,00 %;2,94 %;2,94 %;4,41 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;13,24 %;0,00 %;2,94 %;8,82 %;8,82 %;5,88 %;10,00 %;100,00 %;0,00 %;2,94 %;0,00 %;2,94 %;0,00 %;0,00 %;0,00 %;31,18 %;2,94 %;0,00 %;10,29 %;0,00 %;0,00 %;0,00 %;13,24 %;20,59 %;15,88 %
Pla de desenvolupament de l'Alt Foix;2000;1998-2007;Sant Martí Sarroca;0,00 %;0,00 %;2,94 %;0,00 %;0,00 %;0,00 %;0,00 %;2,94 %;0,00 %;0,00 %;0,00 %;0,00 %;5,88 %;5,88 %;0,00 %;16,47 %;2,94 %;0,00 %;2,94 %;0,00 %;0,00 %;0,00 %;0,00 %;2,94 %;2,94 %;4,41 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;13,24 %;0,00 %;2,94 %;8,82 %;8,82 %;5,88 %;10,00 %;100,00 %;0,00 %;2,94 %;0,00 %;2,94 %;0,00 %;0,00 %;0,00 %;31,18 %;2,94 %;0,00 %;10,29 %;0,00 %;0,00 %;0,00 %;13,24 %;20,59 %;15,88 %
