Nom complet;Any central;Període;Municipi;ODS1 - Economia social i solidària;ODS2 - Agricultura i alimentació;ODS2 - Productes locals;ODS3 - Salut;ODS3 - Cures;ODS3 - Economia platejada i gent gran;ODS4 - Educació ;ODS4 - Formació (professional i ocupacional);ODS4 - Educació superior i universitats;ODS5 - Igualtat de gènere;ODS6 - Aigua;ODS7 - Energia;ODS8 - Emprenedoria;ODS8 - Retenció i atracció de talent;ODS8 - Creativitat i cultura;ODS8 - Turisme;ODS8 - Comerç i restauració;ODS8 - Esport;ODS9 - Indústria i innovació;ODS9 - Digitalització i telecomunicacions;ODS9 - Grans infraestructures ;ODS10 - Serveis socials;ODS10 - Drets;ODS11 - Model urbà ;ODS11 - Polígons ;ODS11 - Paisatge i patrimoni urbà;ODS11 - Habitatge;ODS11 - Regeneració urbana, espai públic i equipaments;ODS11 - Mobilitat interna ;ODS11 - Manteniment i creixement de la població;ODS12 - Economia circular;ODS12 - Consum responsable;ODS13 - Gestió de riscos, resiliència climàtica;ODS14 - Vida submarina;ODS15 - Fusta i silvicultura. Productes forestals no fustaners;ODS15 - Serveis ecosistèmics i infraestructura verda i blava (incloent verd urbà);ODS15 - Paisatges naturals;ODS16 - Participació;ODS16 - Identitat;ODS16 - Modernització administració ;ODS17 - Dades;ODS17 - Plans, pactes, acords ;Total;ODS1;ODS2;ODS3;ODS4;ODS5;ODS6;ODS7;ODS8;ODS9;ODS10;ODS11;ODS12;ODS13;ODS14;ODS15;ODS16;ODS17
La Nova Abrera! Pla Estratègic d'Abrera;2003;1998-2007;Abrera;0,00 %;0,00 %;0,98 %;0,00 %;0,98 %;0,00 %;4,90 %;1,96 %;0,00 %;4,41 %;2,94 %;0,98 %;0,00 %;0,00 %;9,80 %;0,49 %;3,43 %;0,98 %;3,92 %;1,47 %;2,94 %;4,90 %;0,00 %;4,90 %;3,92 %;2,21 %;2,45 %;6,86 %;7,35 %;3,43 %;0,00 %;0,00 %;0,98 %;0,00 %;0,98 %;6,13 %;0,98 %;0,98 %;6,86 %;3,92 %;0,98 %;1,96 %;100 %;0 %;1 %;1 %;7 %;4 %;3 %;1 %;15 %;8 %;5 %;31 %;0 %;1 %;0 %;8 %;12 %;3 %
Pla estratègic municipal d'Abrera 2023 - 2027;2022;2018-2023;Abrera;0,00 %;2,02 %;0,78 %;3,94 %;1,52 %;2,17 %;3,51 %;3,03 %;0,10 %;2,27 %;4,92 %;3,54 %;0,51 %;1,01 %;6,92 %;1,77 %;2,65 %;0,88 %;1,01 %;0,00 %;0,51 %;3,33 %;2,78 %;1,77 %;0,76 %;1,01 %;1,52 %;7,58 %;4,90 %;0,76 %;1,26 %;0,76 %;3,81 %;0,25 %;0,00 %;1,67 %;0,00 %;3,54 %;2,78 %;13,38 %;3,08 %;2,02 %;100 %;0 %;3 %;8 %;7 %;2 %;5 %;4 %;14 %;2 %;6 %;18 %;2 %;4 %;0 %;2 %;20 %;5 %
Reflexió estratègia d'Arenys de Munt;2000;1998-2007;Arenys de Munt;0,00 %;0,00 %;3,85 %;0,00 %;0,00 %;0,00 %;3,85 %;3,85 %;3,85 %;0,00 %;1,92 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;3,85 %;12,31 %;3,85 %;3,85 %;3,85 %;0,00 %;0,00 %;5,38 %;3,08 %;1,92 %;0,00 %;13,85 %;3,85 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;3,85 %;7,69 %;0,00 %;0,00 %;15,38 %;0,00 %;0,00 %;100 %;0 %;4 %;0 %;12 %;0 %;2 %;0 %;16 %;12 %;0 %;28 %;0 %;0 %;0 %;12 %;15 %;0 %
Pla estratègic d'Argentona;2004;1998-2007;Argentona;1,85 %;4,63 %;0,93 %;0,00 %;0,00 %;3,70 %;3,70 %;7,41 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;3,70 %;6,48 %;0,00 %;0,93 %;0,00 %;3,70 %;6,48 %;0,00 %;0,00 %;9,26 %;3,70 %;5,56 %;3,70 %;12,96 %;0,93 %;3,70 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;2,78 %;2,78 %;3,70 %;7,41 %;0,00 %;0,00 %;0,00 %;100 %;2 %;6 %;4 %;11 %;0 %;0 %;0 %;11 %;10 %;0 %;40 %;0 %;0 %;0 %;6 %;11 %;0 %
Pla de desenvolupament econòmic 2021 - 2023;2021;2018-2023;Barberà del Vallès;4,39 %;0,00 %;0,44 %;0,00 %;0,00 %;0,00 %;1,75 %;10,00 %;0,00 %;1,75 %;0,00 %;4,82 %;7,46 %;0,88 %;0,44 %;3,95 %;9,21 %;0,00 %;3,07 %;8,77 %;0,00 %;4,39 %;0,00 %;0,88 %;3,95 %;0,00 %;0,00 %;0,00 %;1,75 %;1,40 %;0,00 %;0,44 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,88 %;2,19 %;19,74 %;3,95 %;3,51 %;100 %;4 %;0 %;0 %;12 %;2 %;0 %;5 %;22 %;12 %;4 %;8 %;0 %;0 %;0 %;0 %;23 %;7 %
III Pla Econòmic i Social de Barcelona (en la perspectiva 1999 - 2005);1999;1998-2007;Barcelona;0,00 %;0,00 %;0,00 %;1,58 %;3,95 %;4,34 %;3,29 %;1,84 %;2,37 %;1,32 %;0,13 %;0,13 %;4,74 %;4,61 %;1,84 %;7,76 %;2,63 %;0,00 %;6,05 %;2,63 %;9,74 %;1,32 %;0,00 %;3,55 %;0,00 %;1,32 %;2,76 %;3,16 %;2,89 %;0,26 %;0,13 %;0,00 %;0,13 %;0,13 %;0,00 %;0,13 %;0,00 %;6,58 %;0,66 %;5,86 %;2,57 %;9,61 %;100 %;0 %;0 %;10 %;8 %;1 %;0 %;0 %;22 %;18 %;1 %;14 %;0 %;0 %;0 %;0 %;13 %;12 %
El Bruc que tots volem;2013;2008-2017;El Bruc;3,85 %;8,85 %;12,31 %;0,00 %;0,00 %;0,00 %;1,28 %;1,28 %;1,28 %;0,00 %;0,00 %;0,00 %;0,51 %;0,00 %;1,92 %;3,72 %;7,56 %;0,00 %;1,15 %;0,00 %;0,00 %;1,28 %;0,00 %;0,00 %;0,00 %;1,15 %;0,00 %;6,41 %;2,56 %;0,77 %;0,00 %;0,00 %;7,05 %;0,00 %;8,97 %;8,33 %;5,90 %;0,00 %;1,03 %;6,41 %;0,00 %;6,41 %;100 %;4 %;21 %;0 %;4 %;0 %;0 %;0 %;14 %;1 %;1 %;11 %;0 %;7 %;0 %;23 %;7 %;6 %
Pla estratègic de Cabrils;2001;1998-2007;Cabrils;0,00 %;0,00 %;3,57 %;7,14 %;0,00 %;0,00 %;7,14 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;7,14 %;0,00 %;3,57 %;7,14 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;7,14 %;0,00 %;3,57 %;0,00 %;10,71 %;7,14 %;0,00 %;0,00 %;0,00 %;7,14 %;0,00 %;0,00 %;7,14 %;0,00 %;0,00 %;7,14 %;14,29 %;0,00 %;0,00 %;100 %;0 %;4 %;7 %;7 %;0 %;0 %;0 %;18 %;0 %;0 %;29 %;0 %;7 %;0 %;7 %;21 %;0 %
Pla Estratègic de Caldes de Montbui. Horitzó 2025;2014;2008-2017;Caldes de Montbui;0,00 %;2,86 %;3,27 %;1,19 %;1,07 %;2,98 %;2,98 %;5,48 %;0,60 %;0,00 %;0,00 %;1,43 %;4,17 %;0,00 %;4,64 %;3,33 %;1,25 %;0,00 %;4,76 %;1,19 %;2,38 %;4,17 %;0,00 %;0,60 %;1,19 %;1,19 %;5,83 %;5,65 %;5,06 %;5,24 %;0,00 %;1,19 %;0,00 %;0,00 %;1,19 %;2,38 %;1,90 %;4,76 %;5,95 %;6,55 %;0,00 %;3,57 %;100 %;0 %;6 %;5 %;9 %;0 %;0 %;1 %;13 %;8 %;4 %;25 %;1 %;0 %;0 %;5 %;17 %;4 %
Pla Estratègic Integral de la ciutat de Calella;2015;2008-2017;Calella;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;4,55 %;0,00 %;0,00 %;0,00 %;0,00 %;9,09 %;0,00 %;0,00 %;9,09 %;13,64 %;0,00 %;0,00 %;2,27 %;0,00 %;4,55 %;0,00 %;9,09 %;0,00 %;0,00 %;0,00 %;6,82 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;9,09 %;4,55 %;13,64 %;9,09 %;4,55 %;100 %;0 %;0 %;0 %;5 %;0 %;0 %;0 %;32 %;2 %;5 %;16 %;0 %;0 %;0 %;0 %;27 %;14 %
