ODS,ODS descripció,Dibaròmetre,question_text,question_id,answer_id
1,Fi de la pobresa,Situació econòmica i laboral - Evolució de la situació econòmica personal,"Respecte a la seva situació econòmica personal, diria que en el darrer any ha millorat o ha empitjorat?",p2_4,
2,Fam zero,,,,
3,Salut i benestar,,,,
4,Educació de qualitat,,,,
5,Igualtat de gènere,,,,
7,Energia neta i assequibles,,,,
8,Treball digne i creixement econòmic,Situació econòmica i laboral - Evolució de la situació econòmica del municipi,"Respecte a la situació econòmica actual del seu municipi, diria que en el darrer any ha millorat o ha empitjorat?",p2_2,
8,Treball digne i creixement econòmic,Imatge municipal - Oportunitats de feina,Valori si us plau entre el 0 i el 10 la situació del seu municipi en relació amb les oportunitats de feina.,p3_12,
9,"Industria, innovació i infraestructures",,,,
10,Reducció de les desigualtats,,,,
11,Ciutats i comunitats sostenibles,Medi de transport que fa servir,Digui'm si us plau quin mitjà de transport fa servir més sovint en els desplaçaments que fa dins del municipi,p5_1,
11,Ciutats i comunitats sostenibles,Oferta cultural del municipi,"Segons la seva opinió, al seu municipi hi ha suficient o insuficient oferta cultural?",p6_16b,
11,Ciutats i comunitats sostenibles,Percepció del municipis - Accés a l'habitatge,"Valoració de l'accés a l'habitatge com un problema greu.",p1_5,7
11,Ciutats i comunitats sostenibles,Percepció del municipis - Manca d'equipaments i serveis,"Valoració de la manca d'equipaments i serveis com un problema greu.",p1_5,24
12,Consum i producció responsables,,,,
13,Acció climàtica,Compromís ajuntament amb el medi ambient i el canvi climàtic,"Vostè diria que el seu ajuntament està molt, bastant, poc o gens compromès amb la conservació del medi ambient i la lluita contra el canvi climàtic?",p4_1,
14,Vida marina,,,,
15,Vida terrestre,,,,
16,"Pau, justícia i institucions sòlides",Transparència de l'ajuntament,"I creu que l'ajuntament és molt, bastant, poc o gens transparent en la seva manera de funcionar?",p4_3,
16,"Pau, justícia i institucions sòlides",Gestió de l'ajuntament de 0 a 10,"En general, en una escala del 0 al 10, essent 0 molt dolenta i 10 molt bona, com qualificaria la gestió de l'ajuntament?",p1_4,
16,"Pau, justícia i institucions sòlides",Foment de la participació ciutadana,"I l'ajuntament diria que afavoreix molt, bastant, poc o gens la participació ciutadana?",p4_2,
16,"Pau, justícia i institucions sòlides",Gestió municipal - Satisfacció amb el funcionament de la tramitació per internet,"(si diu que sí) I va quedar molt, bastant, poc o gens satisfet amb el funcionament de la tramitació per internet (on-line)?",p4_6,
17,Aliances per a assolir els objectius,,,,
