key,value
TITLE,Visor 2030
HOMEPAGE.TITLE,Indicadors locals ODS de la província de Barcelona
HOMEPAGE.DESCRIPTION,"Des de la Diputació de Barcelona posem al vostre abast una plataforma per a la visualització d’un sistema d’indicadors multidimensional en clau d’Agenda 2030 sobre la realitat econòmica, social i ambiental dels municipis de la província de Barcelona. Amb aquest conjunt de dades volem afavorir el debat, la reflexió i anàlisi, i la millora de la presa de decisions tant dels ens locals com de la pròpia Diputació."
HOMEPAGE.SUBTITLE,Sobre els ODS
HOMEPAGE.SDG_DESCRIPTION,"Els Objectius de Desenvolupament Sostenible són una crida global a posar fi a la pobresa, protegir el planeta i garantir el benestar per a tothom. Adoptats per les Nacions Unides el 2015, ofereixen un marc comú per afrontar els grans reptes globals. Des de la Diputació de Barcelona, impulsem la seva aplicació local com a eina per planificar, prendre decisions informades i fer seguiment del progrés cap a un futur més sostenible i just."
HOMEPAGE.FOOTER_TITLE,Sobre el Visor 2030
HOMEPAGE.FOOTER_TEXT,"El visor mesura l’assoliment dels ODS als municipis a partir d’una selecció de 76 indicadors distribuïts entre els 17 objectius. Aquests indicadors s’han triat segons la seva rellevància temàtica i la disponibilitat de dades a escala municipal.

El càlcul de l’índex sintètic s’expressa en una escala de 0 a 100 i  incorpora ponderacions per població, ajustaments metodològics i tractament de valors extrems per garantir la comparació entre municipis. També s’inclouen referències comarcals i provincials.

Les dades cobreixen el màxim nombre de municipis i anys disponibles segons cada font, i es preveu una actualització periòdica"
HOMEPAGE.METODOLOGIA_BUTTON,Consulteu la metodologia
SDG,ODS {sdg}
TARGET,Fita {target}
INDICATORS,Indicadors
INDICATOR,Indicador
EVOLUCIO,Evolució
DISTRIBUCIO,Distribució
PREVIOUS_YEAR,Any anterior
COMARCA_AVERAGE,Comarca del {comarca}
PROVINCE_AVERAGE,Província de Barcelona
SOURCE,Fonts de dades i metodologia
PROVINCIA_BARCELONA,Província de Barcelona
NO_MUNICIPALITY_DATA,No hi ha dades disponibles per a aquest municipi
CHOOSE_TARGET,Tria la fita per la qual vols veure els indicadors
HIGH,Alta
MEDIUM,Mitja
LOW,Baixa
VERY_HIGH,Molt alta
SI,Sí
NO,No
UNKNOWN,---
ACTUALITZAT,Actualitzat
