key,value
TITLE,Visor 2030
HOMEPAGE.TITLE,Indicadores locales ODS de la provincia de Barcelona
HOMEPAGE.DESCRIPTION,"Desde la Diputació de Barcelona ponemos a vuestra disposición una plataforma para la visualización de un sistema de indicadores multidimensionales en clave de Agenda 2030 sobre la realidad económica, social y ambiental de los municipios de la provincia de Barcelona. Con este conjunto de datos queremos fomentar el debate, la reflexión y el análisis, así como mejorar la toma de decisiones tanto de los entes locales como de la propia Diputació."
HOMEPAGE.SUBTITLE,Sobre los ODS
HOMEPAGE.SDG_DESCRIPTION,"Los Objetivos de Desarrollo Sostenible son un llamamiento global para poner fin a la pobreza, proteger el planeta y garantizar el bienestar para todas las personas. Adoptados por las Naciones Unidas en 2015, ofrecen un marco común para afrontar los grandes retos globales. Desde la Diputació de Barcelona, impulsamos su aplicación local como una herramienta para planificar, tomar decisiones informadas y hacer seguimiento del progreso hacia un futuro más sostenible y justo."
HOMEPAGE.FOOTER_TITLE,Sobre el Visor 2030
HOMEPAGE.FOOTER_TEXT,"El visor mide el grado de cumplimiento de los ODS en los municipios a partir de una selección de 76 indicadores distribuidos entre los 17 objetivos. Estos indicadores se han elegido según su relevancia temática y la disponibilidad de datos a escala municipal.

El cálculo del índice sintético se expresa en una escala de 0 a 100 e incorpora ponderaciones por población, ajustes metodológicos y tratamiento de valores extremos para garantizar la comparabilidad entre municipios. También se incluyen referencias comarcales y provinciales.

Los datos cubren el mayor número posible de municipios y años disponibles según cada fuente, y se prevé una actualización periódica."
HOMEPAGE.METODOLOGIA_BUTTON,Consulta la metodología
SDG,ODS {sdg}
TARGET,Hito {target}
INDICATORS,Indicadores
INDICATOR,Indicador
EVOLUCIO,Evolución
DISTRIBUCIO,Distribución
PREVIOUS_YEAR,Año anterior
COMARCA_AVERAGE,Comarca del {comarca}
PROVINCE_AVERAGE,Provincia de Barcelona
SOURCE,Fuentes de datos y metodología
PROVINCIA_BARCELONA,Provincia de Barcelona
NO_MUNICIPALITY_DATA,No hay datos disponibles para este municipio
CHOOSE_TARGET,Elige el hito por el que quieres ver los indicadores
HIGH,Alta
MEDIUM,Media
LOW,Baja
VERY_HIGH,Muy alta
SI,Sí
NO,No
UNKNOWN,---
ACTUALITZAT,Actualizado
NO_ACTUALITZAT,No actualizado
CLICK_SDG,Haz clic en alguno de los ODS para ver la información en detalle
NAVEGA_PER_MUNICIPI,Navega por municipio
CERCA_MUNICIPI,Busca municipio
SELECCIONA_UN_MUNICIPI,Selecciona un municipi
PROGRAMS_BUDGET,Presupuestos por programa
PROGRAMS_TITLE,Programas
BUDGET,Presupuesto
BUDGET_TITLE,Presupuesto
TOTAL_BUDGET,Total
TOTAL_ASSIGNED_BUDGET,Asignado a ODS
TOTAL_UNASSIGNED_BUDGET,Sin asignar
PER_CAPITOLS,Desglose por capítulos
ERROR,Ha habido un error en la carga de los datos. Inténtalo de nuevo más tarde.
POINTS_BY_SDG,Puntuación por ODS
BUDGET_SUBTITLE,"El presupuesto asignado refleja los recursos económicos destinados a iniciativas vinculadas a los ODS. Se indica tanto el total como la distribución por objetivos, así como la parte pendiente de asignación. El análisis facilita la evaluación del alineamiento entre las políticas locales y los compromisos de sostenibilidad. Son recursos presupuestados y asignados, pero aún no liquidados."
RANKING,Ranking
COMPOSITION,Composición
CHAPTERS,Capítulos
DISTRIBUTION,Distribución
ALL,Todos
FILTER_BY_SDG,Filtrar por ODS
SDGS.1.TITLE,Fin de la pobreza
SDGS.1.DESCRIPTION,Poner fin a la pobreza en todas sus formas en todo el mundo.
SDGS.1.TARGETS.1.DESCRIPTION,Reducir la pobresa extrema
SDGS.1.TARGETS.1.INDICATORS.1.TITLE,% Población con ingresos < 40%
SDGS.1.TARGETS.1.INDICATORS.1.DESCRIPTION,Porcentaje de población que vive en unidades de consumo con una renta disponible inferior al 40 % de la mediana
SDGS.1.TARGETS.1.INDICATORS.1.UNIT,%
SDGS.1.TARGETS.1.INDICATORS.1.VALUES.1.TITLE,
SDGS.1.TARGETS.1.INDICATORS.1.VALUES.1.UNIT,
SDGS.1.TARGETS.1.INDICATORS.1.VALUES.2.TITLE,
SDGS.1.TARGETS.1.INDICATORS.1.VALUES.2.UNIT,
SDGS.1.TARGETS.1.INDICATORS.1.SOURCE,- [Porcentaje de población con ingresos por unidad de consumo por debajo/encima de determinados umbrales relativos por sexo](https://www.ine.es/jaxiT3/Tabla.htm?t=30901) (INE)
SDGS.1.TARGETS.2.DESCRIPTION,Reducir la proporción de población que vive en la pobreza mediante el aumento de los programas integrales que la aborden en todas sus dimensiones.
SDGS.1.TARGETS.2.INDICATORS.1.TITLE,% Población con ingresos < 60%
